         2525533 function calls (2394133 primitive calls) in 0.496 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
21400/20600    0.001    0.000    0.002    0.000 {built-in method builtins.hash}
     3600    0.001    0.000    0.002    0.000 aifpl_compiler.py:48(<lambda>)
    16900    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
    12800    0.001    0.000    0.001    0.000 {method 'update' of 'set' objects}
    17800    0.001    0.000    0.001    0.000 {method 'isalpha' of 'str' objects}
    15200    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     9700    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     9600    0.001    0.000    0.001    0.000 aifpl_compiler.py:74(<genexpr>)
     4900    0.001    0.000    0.001    0.000 aifpl_compiler.py:25(add_binding)
     4500    0.001    0.000    0.001    0.000 aifpl_compiler.py:65(<genexpr>)
     9500    0.001    0.000    0.001    0.000 aifpl_compiler.py:77(current_scope)
     7100    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     3600    0.000    0.000    0.001    0.000 aifpl_compiler.py:151(current_instruction_index)
     2100    0.001    0.000    0.001    0.000 aifpl_parser.py:25(__init__)
     1500    0.000    0.000    0.001    0.000 aifpl_compiler.py:105(add_code_object)
     5500    0.000    0.000    0.000    0.000 {built-in method builtins.max}
     5200    0.000    0.000    0.000    0.000 aifpl_compiler.py:147(patch_jump)
      400    0.000    0.000    0.000    0.000 <string>:21(__hash__)
     1900    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
     1600    0.000    0.000    0.000    0.000 aifpl_dependency_analyzer.py:47(<genexpr>)
     1000    0.000    0.000    0.000    0.000 aifpl_value.py:131(length)
     2000    0.000    0.000    0.000    0.000 aifpl_value.py:172(get)
     1400    0.000    0.000    0.000    0.000 <string>:7(__eq__)
     1100    0.000    0.000    0.000    0.000 {method 'issubset' of 'set' objects}
      700    0.000    0.000    0.000    0.000 {method 'copy' of 'set' objects}
      600    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       15    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       15    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}


